117647-B21,Pentium III Xeon 6/500 512K Processor  - Complete Kit | Option Part #: 117647-B21
117648-B21,Pentium III Xeon 6/500 1-MB Processor  - Complete Kit | Option Part #: 117648-B21
117649-B21,Pentium III Xeon 6/500 2-MB Processor  - Complete Kit | Option Part #: 117649-B21
117651-B21,Intel Pentium III Xeon processor 6/500-1024 1MB  - Complete Kit | Option Part #: 117651-B21
117652-B21,Intel Pentium III Xeon processor 6/500-2048 2MB  - Complete Kit | Option Part #: 117652-B21
117810-B21,Pentium III Xeon 6/500 512K Processor  - Complete Kit | Option Part #: 117810-B21
117811-B21,Pentium III Xeon 6/500 1MB Processor  - Complete Kit | Option Part #: 117811-B21
117812-B21,Pentium III Xeon 6/500 2MB Processor  - Complete Kit | Option Part #: 117812-B21
120978-001,HP BATTERY BACKED WRITE CACHE ENABLER
123065-B22,123065-B22 9.1-GB Wide Ultra2 SCSI Drive (1')
123482-001_refurb,COMPAQ FAN ASSEMBLY FOR MSA ARRAY
123482-005,SPS Blower fan HP EVA8000
124779-B21,6/550 Pentium III 512K Processor  - Complete Kit | Option Part #: 124779-B21 | Spare Part #: 144573-001
124992-B21,Smart Array 5302/64 Controller | Option Part #: 124992-B21 | Spare Part #: 171383-001
127695-B21,Smart Array 431 Controller | Option Part #: 127695-B21 | Spare Part #: 143886-001
127695-B21_refurb,Smart Array 431 Controller | Option Part #: 127695-B21 | Spare Part #: 143886-001
128276-B21,64-MB PC133-MHz Registered ECC SDRAM DIMM memory Option Kit | Option Part #: 128276-B21
128277-B21,128-MB PC133-MHz Registered ECC SDRAM DIMM Memory Option Kit | Option Part #: 128277-B21
128278-B21,"256-MB PC133-MHz Registered ECC SDRAM DIMM Memory Option Kit | Option Part #: 128278-B21 | Assembly Part #: 127005-021, 127005-031 | Spare Part #: 159304-001"
128279-B21,"512-MB PC133-MHz Registered ECC SDRAM DIMM Memory Option Kit | Option Part #: 128279-B21 | Assembly Part #: 127006-041 | Spare Part #: 159227-001, 177628-001"
128279-B21_refurb,"512-MB PC133-MHz Registered ECC SDRAM DIMM Memory Option Kit | Option Part #: 128279-B21 | Assembly Part #: 127006-041 | Spare Part #: 159227-001, 177628-001"
128280-B21,HPE/COMPAQ 1GB PC133 SDRAM Memory RAM Module | Option Part #: 128280-B21 | Assembly Part #: 127008-041 | Spare Part #: 163902-001
128280-B21_refurb,HPE/COMPAQ 1GB PC133 SDRAM Memory RAM Module | Option Part #: 128280-B21 | Assembly Part #: 127008-041 | Spare Part #: 163902-001
128283-B21,Pentium III Xeon X1000-256KB Processor  - Complete Kit | Option Part #: 128283-B21
128293-B21,Integrated Smart Array Controller Module | Option Part #: 128293-B21
128417-B21,"18.2-GB Wide-Ultra SCSI-3 10,000 rpm Drive 1in | Option Part #: 128417-B21 | Spare Part #: 143919-001"
128418-B22,"18.2-GB Wide Ultra2 SCSI 10,000 rpm Drive 1in | Option Part #: 128418-B22 | Spare Part #: 143920-001"
128418-B22_refurb,"18.2-GB Wide Ultra2 SCSI 10,000 rpm Drive 1in | Option Part #: 128418-B22 | Spare Part #: 143920-001"
128420-B21,"36.4-GB Wide-Ultra SCSI-3 10,000 rpm Drive 1.6in | Option Part #: 128420-B21 | Spare Part #: 143916-001"
129803-B21,64-bit/66-MHz Dual Channel Wide Ultra3 SCSI Adapter | Option Part #: 129803-B21 | Spare Part #: 129281-001
129803-B21_refurb,64-bit/66-MHz Dual Channel Wide Ultra3 SCSI Adapter | Option Part #: 129803-B21 | Spare Part #: 129281-001
133749-B21,IBM 16/4 Token Ring PCI Special | Option Part #: 133749-B21 | Spare Part #: 135449-001
138603-B21,"Compaq NC3134 Fast Ethernet NIC 64 PCI Dual Port 10/100 | Option Part #: 138603-B21 | Spare Part #: 161105-001, 313586-001"
138604-B21,Compaq NC3135 Fast Ethernet Module Dual 10/100 Upgrade Module for NC3134 and NC3131 | Option Part #: 138604-B21 | Spare Part #: 161106-001
142263-001,"Power cord (Black) - Three conductor, 1.83 m (6.0 ft) long - IEC-320 C-14 to IEC-320 C-13 | Part #: 142263-001"
