sku,option_pn,pn_type
005139-001,169845-001,assembly
006231-009,287728-001,assembly
007844-001,317450-B21,assembly
007899-001,295635-B21,assembly
009542-001,338456-B21,assembly
009542-003,338456-B21,assembly
009545-001,338456-B22,assembly
009548-001,338456-B23,assembly
009548-002,338456-B24,assembly
009551-001,338456-B25,assembly
009865-003,254786-B21,assembly
010133-001,174818-B21,assembly
010214-001,388099-B21,assembly
010495-001,124992-B21,assembly
010505-001,127695-B21,assembly
010555-001,138603-B21,assembly
010556-001,138604-B21,assembly
010864-001,203320-B21,assembly
010948-001,188044-B21,assembly
010994-001,203539-B21,assembly
011200-001,225338-B21,assembly
011227-001,153543-B21,assembly
011420-001,238633-B21,assembly
011773-003,372538-B21,assembly
011779-001,273911-B21,assembly
011782-001,273915-B21,assembly
011815-001,291967-B21,assembly
011818-001,291966-B21,assembly
011936-001,236844-B21,assembly
012073-001,348107-B21,assembly
012098-001,364639-B21,assembly
012304-001,351580-B21,assembly
012392-002,394795-B21,assembly
012415-001,367132-B21,assembly
012429-001,367047-B21,assembly
012760-002,405132-B21,assembly
012764-003,405148-B21,assembly
012789-001,394791-B21,assembly
012825-001,410061-B21,assembly
012845-001,348107-B21,assembly
012882-001,367132-B21,assembly
012891-001,411508-B21,assembly
012970-001,409180-B21,assembly
102324-001,174818-B21,spare
104659-001,400740-B21,spare
104660-001,400739-B21,spare
104663-001,388144-B22,spare
104664-001,388143-B21,spare
104922-001,388144-B22,assembly
114525-001,401268-B21,spare
117647-B21,117647-B21,option
117648-B21,117648-B21,option
117649-B21,117649-B21,option
117651-B21,117651-B21,option
117652-B21,117652-B21,option
117810-B21,117810-B21,option
117811-B21,117811-B21,option
117812-B21,117812-B21,option
123065-B22,123065-B22,option
124779-B21,124779-B21,option
124992-B21,124992-B21,option
127695-B21,127695-B21,option
127889-001,313706-B21,assembly
127891-001,129803-B21,assembly
127961-001,336357-B21,assembly
127962-001,328939-B22,assembly
127964-001,128417-B21,assembly
127965-001,128418-B22,assembly
127967-001,128420-B21,assembly
127976-001,336357-B21,assembly
127977-001,328939-B22,assembly
127979-001,128417-B21,assembly
127980-001,128418-B22,assembly
128276-B21,128276-B21,option
128277-B21,128277-B21,option
128278-B21,128278-B21,option
128279-B21,128279-B21,option
128280-B21,128280-B21,option
128283-B21,128283-B21,option
128293-B21,128293-B21,option
128417-B21,128417-B21,option
128418-B21,128418-B22,option
128418-B22,128418-B22,option
128420-B21,128420-B21,option
129281-001,129803-B21,spare
129803-B21,129803-B21,option
133749-B21,133749-B21,option
133750-001,133749-B21,assembly
135449-001,133749-B21,spare
138603-B21,138603-B21,option
138604-B21,138604-B21,option
142671-B22,142671-B22,option
142672-B21,142672-B21,option
142673-B21,142673-B22,option
142673-B22,142673-B22,option
142674-B21,142674-B21,option
142676-B21,142676-B21,option
142685-001,336357-B21,assembly
142686-001,142671-B22,assembly
142687-001,142672-B21,assembly
142688-001,128417-B21,assembly
142689-001,142673-B22,assembly
142690-001,142674-B21,assembly
142691-001,128420-B21,assembly
142693-001,142676-B21,assembly
143886-001,127695-B21,spare
143916-001,128420-B21,spare
143919-001,128417-B21,spare
143920-001,142673-B22,spare
144573-001,124779-B21,spare
146168-B21,146168-B21,option
146169-B21,146169-B21,option
146170-B21,146170-B21,option
146488-001,189080-B21,spare
146489-001,328807-B21,spare
152188-001,142671-B22,spare
152189-001,142672-B21,spare
152190-001,142673-B22,spare
152191-001,142674-B21,spare
152193-001,142676-B21,spare
153274-001,328939-B22,assembly
153275-001,128418-B22,assembly
153506-B21,153506-B21,option
153507-B21,153507-B21,option
153543-B21,153543-B21,option
153555-B21,153555-B21,option
154457-B21,154457-B21,option
154557-B21,154557-B21,option
154712-B21,154712-B21,option
154713-B21,154713-B21,option
154714-B21,154714-B21,option
155222-B21,155222-B21,option
155223-B21,155223-B21,option
155224-B21,155224-B21,option
155592-001,153555-B21,spare
155595-001,154457-B21,spare
158575-B21,158575-B21,option
158939-B21,158939-B21,option
159227-001,128279-B21,spare
159304-001,128278-B21,spare
159377-001,201693-B21,spare
159756-B21,159756-B21,option
161083-B21,161083-B21,option
161084-B21,161084-B21,option
161085-B21,161085-B21,option
161086-B21,161086-B21,option
161105-001,138603-B21,spare
161106-001,138604-B21,spare
161665-001,158575-B21,spare
163587-001,142671-B22,assembly
163587-002,142673-B22,assembly
163587-004,142672-B21,assembly
163587-005,142674-B21,assembly
163902-001,128280-B21,spare
164278-001,201692-B21,spare
166207-B21,166207-B21,option
166298-038,166298-038,option
166479-001,379956-B21,spare
166480-001,379956-B21,assembly
167444-B21,167444-B21,option
169845-001,169845-001,option
169849-001,169845-001,spare
170024-001,153543-B21,spare
170514-001,189081-B21,spare
170515-001,328808-B21,spare
170517-001,189082-B21,spare
170519-001,189083-B21,spare
171384-001,153507-B21,spare
171387-001,153506-B21,spare
174448-B21,174448-B21,option
174449-B21,174449-B21,option
174571-B21,174571-B21,option
174736-B21,174736-B21,option
174737-B21,174737-B21,option
174738-B22,174738-B22,option
174739-B31,174739-B31,option
174818-B21,174818-B21,option
174829-001,174830-B21,assembly
174830-B21,174830-B21,option
174831-001,174830-B21,spare
174882-B21,174882-B21,option
175292-001,174448-B21,spare
175293-001,174449-B21,spare
175552-002,388144-B22,assembly
175552-003,349526-B21,assembly
175552-004,388143-B21,assembly
175552-005,313706-B21,assembly
175552-006,400739-B21,assembly
175810-B21,175810-B21,option
176493-001,142671-B22,assembly
176493-002,142673-B22,assembly
176493-003,176496-B22,assembly
176493-005,142672-B21,assembly
176493-006,142674-B21,assembly
176493-007,176497-B21,assembly
176493-009,336357-B21,assembly
176493-010,128417-B21,assembly
176496-B21,176496-B22,option
176496-B22,176496-B22,option
176497-B21,176497-B21,option
176498-B21,176498-B21,option
177628-001,128279-B21,spare
177666-B21,177666-B21,option
177986-001,176496-B22,spare
177987-001,176497-B21,spare
177988-001,176498-B21,spare
179616-002,154713-B21,assembly
179617-001,154713-B21,spare
179780-001,313618-B21,spare
180721-002,388144-B22,assembly
180721-003,349526-B21,assembly
180721-004,388143-B21,assembly
180721-005,313706-B21,assembly
180721-006,400739-B21,assembly
180726-001,142671-B22,assembly
180726-002,142673-B22,assembly
180726-003,176496-B22,assembly
180726-004,142672-B21,assembly
180726-005,142674-B21,assembly
180726-006,176497-B21,assembly
180726-007,336357-B21,assembly
180726-008,128417-B21,assembly
180732-001,142671-B22,assembly
180732-002,142673-B22,assembly
180732-003,176496-B22,assembly
180732-004,142672-B21,assembly
180732-005,142674-B21,assembly
180732-006,176497-B21,assembly
180732-007,336357-B21,assembly
180732-008,128417-B21,assembly
187418-B21,187418-B21,option
